method,SSE_inertia,silhouette,davies_bouldin,n_iter
GMS + AFK-MC2 (sub) + K-means (full),13766.296932271325,0.2860250556084873,1.0567947000784013,14
AFK-MC2 (full) + K-means,13763.821174046952,0.286226993008175,1.0571542807750038,27
K-means++,13763.667134411877,0.2863854384001609,1.0562518994659928,18
K-means (random init),13763.726796458566,0.28637939564254955,1.0561785297661084,21
