k,SSE_inertia,silhouette,davies_bouldin,n_iter
2,22479.49615175533,0.260889218744503,1.5492584268728158,13
3,17801.54253048262,0.27029194315905325,1.2654544886489132,18
4,13763.667134411877,0.2863854384001609,1.0562518994659928,18
5,12204.693345655995,0.2622725831366809,1.1224609228742106,14
6,10981.671096055325,0.2525198030785492,1.1804891198759961,45
7,9969.40041864145,0.23693427496949554,1.1988691233446378,21
8,9174.677551178353,0.2387276328114142,1.1553692244871163,32
9,8579.162403896293,0.2383114956334573,1.1290734301160261,54
10,8046.950282548856,0.23849590361381684,1.0917893097090707,47
