method,SSE_inertia,silhouette,davies_bouldin,n_iter
GMS + AFK-MC2 (sub) + K-means (full),4468.914716253313,0.36158313432420036,0.8919844653958178,6
AFK-MC2 (full) + K-means,4785.25199129629,0.3843648612642075,0.9279448884174873,16
K-means++,4469.006535448559,0.36139753908698863,0.8934397939126472,16
K-means (random init),4468.961106327469,0.3614720077184491,0.8927916168862342,12
