,GMS + AFK-MC2(sub) + K-means,AFK-MC2(full) + K-means,K-means++,K-means (random)
0,23.66,28.39,27.87,32.2
1,32.19,15.21,23.55,27.88
2,27.92,21.04,32.17,23.56
3,16.23,35.35,16.42,16.35
